; $Id: format.txt,v 1.1 2008/01/18 00:35:58 bdragon Exp $
;format	extension	description					pseudo	header
aiff	aiff		Apple/SGI AIFF					No	Unknown
al	Unknown		Unknown						Unknown	Unknown
alsa	alsa		ALSA /dev/snd/pcmCxDxp device driver		Yes	No
au	au		SUN  Microsystems AU				No	Sometimes
auto	Unknown		Automatic format detection			Yes	Sometimes
avr	avr		Audio Visual Research				No	Unknown
cdr	cdr		Music CD track					No	No
cvs	cvs		Continuously Variable Slope Delta modulation	Unknown	Unknown
dat	dat		Text Data					Unknown	Unknown
vms	vms		Unknown						Unknown	Unknown
gsm	gsm		GSM raw data					Unknown	Unknown
hcom	hcom		Macintosh HCOM					fixme	fixme
la	fixme		fixme						fixme	fixme
lu	fixme		fixme						fixme	fixme
maud	maud		fixme						fixme	fixme
mp3	mp3		MPEG Layer 3 audio				No	Yes
nul	nul		"Null" reader/writer				Yes	No
ossdsp	ossdsp		OSS /dev/dsp device driver			Yes	No
prc	prc		Psion record.app				fixme	fixme
raw	raw		Raw (no header)					No	No
sb	fixme		fixme						fixme	fixme
sf	fixme		fixme						fixme	fixme
smp	fixme		fixme						fixme	fixme
sndt	fixme		fixme						fixme	fixme
sph	fixme		fixme						fixme	fixme
8svx	fixme		fixme						fixme	fixme
sw	fixme		fixme						fixme	fixme
txw	fixme		fixme						fixme	fixme
ub	fixme		fixme						fixme	fixme
ul	fixme		fixme						fixme	fixme
uw	fixme		fixme						fixme	fixme
voc	voc		Sound Blaster .VOC				No	fixme
vorbis	ogg		Ogg Vorbis Compressed Audio			No	Yes
flac	flac		Free Lossless Audio Codec			No	Yes
vox	vox		Dialogic/OKI ADPCM (headerless)			No	No
wav	wav		Microsoft .WAV RIFF				No	Sometimes
wve	wve		Psion 8-bit A-law				No	Unknown
